FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Slovenian Research Agency (ARRS),7,14th International Symposium on Algorithms and Experiments for Wireless Sensor Networks (ALGOSENSORS),2.0,Training Project of Young Backbone Teachers of Colleges and Universities of Henan Province,2.0,"Nokia, France Telecom",1.0,Steve Bush,3.0
Sao Paulo Research Foundation - FAPESP,7,Free Boundary Problems and Level Set Methods,2.0,Mechanical Design and Theory),2.0,Deutsche Telekom,1.0,Yahui Li,3.0
Cancer Prevention and Research Institute of Texas,7,Tier 1 Canada Research Chair in Knowledge Translation,2.0,Eberhard Karls University of Tubingen,2.0,Dreamworks Animation,1.0,J. A. Lozano,3.0
German Ministry of Education and Research (BMBF),7,MBIE Software Process and Product Improvement project,2.0,"Schmerzzentrum Berlin GmbH, Berlin, Germany",2.0,Multicap,1.0,Abdul Mutalib,3.0
Gordon and Betty Moore Foundation (GBMF),7,Health System Performance Research Program,2.0,MIT Sloan,2.0,Universita degli Studi di Sassari,1.0,Rafael Bordini,3.0
National Institute on Disability and Rehabilitation Research,7,A Companion-Technology for Cognitive Technical Systems,2.0,University of Malaya-MOHE High Impact Research grant,2.0,Cooperative Medianet Innovation Center,1.0,M.F. Balcan,3.0
Janos Bolyai Research Scholarship of the Hungarian Academy of Sciences,7,SecInCoRe,2.0,"Talent Support Plan of Hunan University of Humanities, Science & Technology (HUHST)",2.0,Progetti di Ateneo Universita degli Studi di Torino,1.0,Borja Peropadre,3.0
Swiss National Supercomputing Centre (CSCS),7,VPS: Verification of Pervasive Systems,2.0,Distributed Robotics Laboratory at MIT,2.0,ATM S.A,1.0,Luca Mollica,3.0
Scientific Research Program Funded,7,Douro/NORTE-01-0145-FEDER-000014,2.0,UCL Institute of Education,2.0,Mondragon Sistemas,1.0,Wei Huang,3.0
RGC General Research Fund,7,"SPP1516 ""New Frameworks of Rationality"")",2.0,Einstein Center for Mathematics Berlin (ECMath),2.0,Campi Flegrei,1.0,Ton Kalker,3.0
National High-Tech Research and Development Plan,7,Machine Intelligence and Machine Learning,2.0,"University of Malaya Research Grant (UMRG), Malaysia",2.0,Yunnan Power Grid Co. Ltd.,1.0,W. E. Wong.,3.0
"Higher Education Commission, Pakistan",7,MARIBS,2.0,Beijing University of Technology. Research fund of Beijing Polytechnic,2.0,"Synopsys Inc.,",1.0,C. Zhao,3.0
Ministry of Science and Technology (MOST),7,Lisa Compute Cluster,2.0,Departments of Pediatrics and Clinical Neurological Sciences,2.0,nVidia,1.0,Caris Tan,3.0
Career Development Fellowship,7,Principles and Practice of Synchronization,2.0,"Karpagam Academy of Higher Education, Coimbatore, India",2.0,Volkswagen Stiftung,1.0,Jim Kovach,3.0
Clinical and Translational Science Award,7,13th Five-Year of China,2.0,"Yong Loo Lin School of Medicine, NUS)",2.0,Samsung America,1.0,Terry Knight,3.0
European Science Foundation,7,Ensemble Characteristics',2.0,Yildiz Technical University,2.0,Shanghai Supercomputer Center,1.0,Makarius Wenzel,3.0
COST Action,7,CROWDS,2.0,"Fundamental Research Funds for the Henan Provincial Colleges and Universities in Henan University of Technology, China",2.0,Cadence Design Systems Inc.,1.0,Knut,3.0
Fonds National de la Recherche Luxembourg,7,City of Lethbridge,2.0,Govt of India,2.0,"AURA, Inc.",1.0,Kay-Michael Wuerzner,3.0
Rajiv Gandhi National Fellowship,7,Embedded system Software for New-memory based Smart Device,2.0,Graduate School of the University of Wisconsin-Madison,2.0,Suncor Pipelines,1.0,John Hilgers,3.0
American Recovery and Reinvestment Act,7,International Rescue and Disposition System against Strong Earthquakes,2.0,"International Institute of Information Technology, Bhubaneswar, Odisha, India",2.0,SNS Unicorp Pty Ltd.,1.0,Sasha Javid,3.0
International Collaborative Project of the Shanghai Committee of Science and Technology,7,Frontiers in Parameterized Preprocessing,2.0,Duke Clinical Research Institute,2.0,Geomobile,1.0,H. Lopez-Fernandez,3.0
RGC GRF,7,GEOTHERM,2.0,"University of South Carolina, Columbia",2.0,Algoritmi e sistemi di analisi visuale di reti complesse e di grandi dimensioni-Ricerca di Base 2018,1.0,Dusan,3.0
Open fund for Jiangsu Key Laboratory of Advanced Manufacturing Technology,7,Computer-Human Interaction for Medical Devices,2.0,Computer Science Department,2.0,Hardt,1.0,Perry Liu,3.0
Shanghai Committee of Science and Technology,7,Marco Polo,2.0,UAB,2.0,Qualcomm Corporation,1.0,Jef H. Geens,3.0
Shenzhen Fundamental Research fund,7,Early Researcher Awards,2.0,Young Elite Teacher Project of Central University of Finance and Economics,2.0,hTC Corporation,1.0,Omar Gonzalez,3.0
Natural Science Foundation of Henan Province of China,7,BC People in Pain Network,2.0,Virginia Tech BioBuild Interdisciplinary Graduate Education Program (IGEP),2.0,Universita di Udine,1.0,Paul Milgrom,3.0
ARC Discovery Projects,7,Round 5 Grand Challenges Explorations Phase I award,2.0,Universidad del Bio-Bio,2.0,"Lovol Heavy Industry Co., Ltd.",1.0,Janos Fodor,3.0
National Natural Science Foundation for Outstanding Youth Foundation,7,INERGE,2.0,University of Exeter Medical School,2.0,China Railway Siyuan Survey and Design Group Co. LTD,1.0,Malte Lichtner,3.0
U.S. Centers for Disease Control and Prevention,7,Superfast Cornwall project,2.0,University of California San Francisco Open Access Publishing Fund,2.0,Intel Science and Tech. Center,1.0,Naoya Sakamoto,3.0
National Natural Science Fund for Distinguished Young Scholars of China,7,Visible Human Project,2.0,Wisconsin Distinguished Graduate Fellowship,2.0,IBM/Intel/NVIDIA,1.0,L. Ballan,3.0
Major Program of National Natural Science Foundation of Hubei in China,7,"Scoperta di Patterns in Strutture Discrete, con Applicazioni alla Bioinformatica",2.0,Visvesvaraya Young Faculty Fellowship,2.0,"LG Display Co., Ltd.",1.0,Rok Sosic,3.0
National Basic Research (973) Program of China,7,Advanced Analysis of Multifocal ERG and Visual-Evoked Potentials Applied to Diagnosis of Optic Neuropathies,2.0,Berkeley Graduate Fellowship,2.0,CONACyT-Mexico,1.0,D. Foster,3.0
German Ministry of Education and Research,7,PLLC,2.0,University of Santiago,2.0,AMD Arrowlogo,1.0,Dimitra Papa-dimitriou,3.0
Science and Technology Program of Hunan Province,7,RedditorStuck In the Matrix,2.0,Wroclaw Center of Networking and Supercomputing,2.0,TCS,1.0,N. Gornitz,3.0
Linkage,7,PGMO,2.0,Rutgers Department of Chemistry and Chemical Biology,2.0,RTI International,1.0,Hamza Fawzi,3.0
EU commission,7,Detect and React,2.0,University of Deusto,2.0,Narodowe Centrum Badan,1.0,Alessandro Garcia,3.0
European Commission Horizon 2020 Programme,7,EhcoBUTLER,2.0,Open Access Fund of FSU Libraries,2.0,Comverse Technology Inc.,1.0,Aron Monszpart,3.0
Beijing Training Project for the Leading Talents in S&T,7,MFO in Oberwolfach,2.0,PARC,2.0,Beijing Computing Center,1.0,Ilana Nisky,3.0
Australian Government Research Training Program,7,DCS computing,2.0,University of Mogi das Cruzes,2.0,Huawei Co. Ltd,1.0,Luis Cerqueira,3.0
Natural Sciences and Engineering Council of Canada (NSERC),7,NGEA,2.0,Lancaster,2.0,Poznan Supercomputing and Networking Center,1.0,Keven Bretonnel Cohen,3.0
IDM Futures Funding Initiative,7,Priority Issue on Post-K Computer,2.0,"Universita della Svizzera italiana, Lugano (Switzerland",2.0,Nokia Foundation,1.0,Soren Sonnenburg,3.0
MCTI/RNP-Brazil,6,HJQO,2.0,University of Piraeus in Greece,2.0,SBA Research Center,1.0,Simbios,3.0
Fondo Europeo de Desarrollo Regional,6,WINEMO,2.0,Graduate Innovation fund project of Mudanjiang Medical University,2.0,Statsports,1.0,Swapnil Soni,3.0
International Research Centres in Singapore Funding Initiative,6,VISEE,2.0,Universitat Polito cnica de Valencia,2.0,MobiWay,1.0,Roop.,3.0
Simons Postdoctoral Fellowship,6,NaSt3DGP,2.0,Training Program of Fundamental Research Funds of the Central Universities of South-Central University For Nationalities,2.0,Inspection (VolkerRail),1.0,Laura Rimell,3.0
Chinese Scholarship Council (CSC),6,HLT07 Metrology for Drug Delivery - MeDD,2.0,"South China University of Technology, Guangzhou, China",2.0,CISCO Systems Inc.,1.0,J. Choi,3.0
State Key Laboratory of Information Security,6,FQRNT,2.0,King Fahd University of Petroleum and Minerals (KFUPM),2.0,Bayer CropScience,1.0,Dr. Martinez,3.0
International Scientific and Technological Cooperation and Exchange Projects in Shaanxi Province,6,Public Health Research program,2.0,"University of Twente (Enschede, the Netherlands)",2.0,Universita degli Studi di Ferrara,1.0,C. Kirsch.,3.0
National Center for International Joint Research on E-Business Information Processing,6,UBACyT-20020130100820BA project,2.0,UFV,2.0,Piritta Lampila,1.0,Nishita Jaykumar,3.0
NIH Intramural Research Program,6,MASTA,2.0,Beijing Orient Institute of Measurement and Test,2.0,"Keysight Technologies Japan, Ltd",1.0,Arjen Veenhuizen,3.0
National Science Foundation Grant,6,CDD TB,2.0,The Gujarat Institute for Chemical Technology (GICT),2.0,dell'Universita e della Ricerca,1.0,Blanca Ceballos,3.0
Civil Aviation Administration of China,6,QuantMed,2.0,Polytechnic University of Valencia,2.0,"Semantic Designs, Inc.",1.0,Bernd Bischl,3.0
Shanghai Science and Technology Committee,6,PLUMED 2,2.0,Program for Liaoning Innovative Research Team in University,2.0,Smiths-Heimann,1.0,Anton,3.0
Estonian Centre of Excellence in IT (EXCITE),6,Fast Track scheme for Young Scientists,2.0,Cardiovascular Research and Training Institute (CVRTI),2.0,Hydro One Networks Inc.,1.0,Nick Lincoln,3.0
International Research Staff Exchange Schema,6,CPCSSN,2.0,Kookmin University,2.0,General Electric,1.0,Eamon Kavanagh,3.0
Radiological Society of North America,6,Young SISSA Scientists' Research Projects,2.0,School of Journalism and Media Studies,2.0,Yamamura Laboratory,1.0,K. Kim,3.0
Doctoral Program Foundation of Institutions of Higher Education of China,6,FP7-ICT-2011-284833 PUFFIN,2.0,Competitiveness Program of Ural Federal University,2.0,Snort Intrusion Detection Systems,1.0,Ian McQuillan,3.0
Department of Health and Human Services (DHHS),6,"Plateforme Technologique de Calcul Intensif (PTCI)""",2.0,Faculty of Chemistry of Wroclaw University of Technology,2.0,Synopsys,1.0,Sophie Sisavath,3.0
Natural Science Fund for Colleges and Universities in Jiangsu Province,6,HERCULES,2.0,Faculty of Psychology and Educational Sciences,2.0,Hairball,1.0,Ashok Kumar Sharma,3.0
Marie Curie Initial Training Network,6,TOGA,2.0,CIMT Center for Innovative Medical Technology,2.0,Sensaura Inc,1.0,B. Kimelfeld,3.0
"National Institute on Disability, Independent Living, and Rehabilitation Research (NIDILRR",6,CEBAM,2.0,"Wollongong Hospital, Wollongong, Australia",2.0,Dezide,1.0,Alex Goldstein,3.0
Turkish Academy of Sciences Outstanding Researcher Programme,6,NCCHTA funded Chlamydia Screening Studies (ClaSS),2.0,Open University of the Brazilian Public Health System of Federal University of Health Science of Porto Alegre,2.0,FotoNation Ltd,1.0,Bo Li,3.0
Brazilian National Research Council (CNPq),6,"IEEE International Conference on Sensing, Communication and Networking",2.0,Harbor-UCLA Medical Center,2.0,Tiancheng Sun,1.0,Katz,3.0
Swedish Government,6,Cape Sorell Waverider Buoy,2.0,"La Trobe University, Australia",2.0,Agilent Technologies Japan Ltd,1.0,Andy Gill,3.0
General Research Funds,6,Development of IIoT-based manufacturing testbeds for the Korean manufacturing equipment industry,2.0,Faculty of Medicine and Faculty of Pharmaceutical Sciences,2.0,"KAITEKI Institute, Inc",1.0,Faryad Darabi Sahneh,3.0
European Commission (FEDER/ERDF),6,Tier 2 Canada Research Chair in Implementation of Shared Decision Making in Primary Care,2.0,University Rovira,2.0,Bloomberg View,1.0,Natasha Nelson,3.0
Fund of the State Key Laboratory of Software Development Environment,6,Surfnet,2.0,New York University Global Institute for Advanced Study,2.0,Ssalto/Duacs,1.0,Hao Chen,3.0
National Natural Science Foundation of Jiangsu Province,6,Programa Ibercaja-CAI de Estancias de Investigacion,2.0,Universiti Kebangsaan Malaysia (UKM),2.0,AMD corporation,1.0,K. Sangaiah,3.0
European Community's Seventh Framework Program (FP7/2007-2013),6,Protonation Dynamics in Protein Function,2.0,University of Washington School of Nursing,2.0,CESNET z.s.p.o,1.0,P. Kolaitis,3.0
Ministry of Education of Humanities and Social Science project,6,Limburg Clinical Research Program UHasselt-Ziekenhuis Oost-Limburg-Jessa,2.0,Department of Information Technology,2.0,"Alpha Electron Co., Ltd.",1.0,Anshuman Dasgupta,3.0
Spanish Ministry of Economy and Competitiveness Project,6,Heinz C Prechter Research Program,2.0,COPPE,2.0,Compunter Networks Editors,1.0,Davy Paindaveine,3.0
National Health Service Connecting for Health Evaluation Programme,6,OncoSeed,2.0,"NGM College, Pollachi",2.0,IMG Midstream,1.0,Seung-Jin Sul,3.0
Malaysian Government,6,"GSRT-National action ""Cooperation",2.0,Institut de Readaptation Gingras-Lindsay de Montreal,2.0,Infosys Ltd,1.0,Robert Farr,3.0
Durham VA Health Care System,6,Virtual Liver,2.0,Minia University in Egypt,2.0,Progetti di Ricerca di Rilevante Interesse Nazionale,1.0,Kristina Sojakova,3.0
"National Healthcare Group, Singapore",6,ACM HotNets 2015 Workshop,2.0,"University Paul Sabatier, Toulouse, France",2.0,GaTech,1.0,John Spargo,3.0
Funding Project for Academic Human Resources Development in Institutions of Higher Learning Under the Jurisdiction of Beijing Municipality,6,"Core Electronic Devices, High-end General Purpose Chips and Basic Software Products"" in China",2.0,Amsterdam School of Communication Research / ASCoR,2.0,Infotech,1.0,Suprateek Sarker,3.0
Gordon,6,TECSAN program,2.0,IMS University of Bordeaux,2.0,,,Andrew Wang,3.0
DESCARTES,6,Transient Computing Systems,2.0,School of Physical Therapy,2.0,,,David L. Gonzalez-Alvarez,3.0
Grant-in-Aid for Scientific Research (B),6,Key Equipment Development of Integrated Development of Three Kind of Unconventional gas in One Well,2.0,Management of VIT University,2.0,,,Rita Chang,3.0
URIF,6,Sistema inteligente para la gestion y an analisis de la dotacion de camas en la red asistencial del sector publico,2.0,University of Malaga UMA/FEDER FC14-TIC36,2.0,,,Rangaraj M. Rangayyan,3.0
Fundamental Research of Civil Aircraft,6,Geoprocessing Laboratory,2.0,Key Scientific Research Fund Project of Xihua University,2.0,,,Yoshio Okamoto,3.0
China Scholarship Council Foundation,6,AVIO-403,2.0,Graduate School on Embedded Systems GESy,2.0,,,Arnaud Legrand,3.0
"Ministry of Education, Culture, Sports, Science and Technology (MEXT)",6,TISRA,2.0,W. P. Carey School of Business,2.0,,,Bingsheng,3.0
Ministry of Economy and Competitiveness (Spain),6,Student Cluster Competition Team,2.0,CONICET/Universidad de Buenos Aires-CNRS/Universite Paris Diderot,2.0,,,Ariel Drori,3.0
"Ministry of Science, ICT and Future Planning, Korea",6,EACCD,2.0,CMC,2.0,,,Ted Lloyd,3.0
Malaysia Ministry of Higher Education,6,Norwegian Diabetes Association,2.0,City University of Hong Kong Shen Zhen Research Institute,2.0,,,Niklas Elmqvist,3.0
National 863 Project of China,6,2015 North American meeting of the Society for Medical Decision Making,2.0,University of the Balearic Islands,2.0,,,James P.G. Sterbenz,3.0
VA Health Services Research and Development,6,"Quebec ministry of higher education, research, science and technology",2.0,ILSB at Vienna University of Technology,2.0,,,Jan Adamowski,3.0
Alzheimer's Association,6,KWF,2.0,"Chapel Hill, NC (DEP)",2.0,,,Grace Fox,3.0
Ministry of Industry and Information Technology of China,6,Norwegian Knowledge Centre for the Health Services,2.0,Environmental Toxicology,2.0,,,S. Guo,3.0
